trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.5}",25,0,-112.6395335438743,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
2,False,"{'e': 1.0, 'a': 0.5}",25,0,-111.52333084279387,"{0: 10, 1: 7, 2: 7, 3: 1, 4: 0}",0
3,False,"{'e': 1.0, 'a': 0.5}",20,0,-66.99249175175805,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
